,DeepCRISPR,DeepCas9,DeepSpCas9,DeepHF,CRISPRLearner,Azimuth 2.0,TSAM,sgDesigner,CRISPRedict
"Labuhn
(R = 87)",0.3333333333333333,0.25287356321839083,0.3563218390804598,0.25287356321839083,0.2413793103448276,0.3448275862068966,0.27586206896551724,0.21839080459770116,0.3103448275862069
"Shalem
(R = 256)",0.24609375,0.33203125,0.34375,0.33203125,0.29296875,0.3203125,0.3046875,0.3125,0.3359375
"Koike-Yusa
(R = 213)",0.22535211267605634,0.23943661971830985,0.29107981220657275,0.2347417840375587,0.19718309859154928,0.2347417840375587,0.26291079812206575,0.2112676056338028,0.2676056338028169
"Kim
(R = 109)",0.28440366972477066,0.4036697247706422,0.6055045871559633,0.47706422018348627,0.24770642201834864,0.46788990825688076,0.47706422018348627,0.45871559633027525,0.5045871559633027
"Shkumatava
(R = 40)",0.25,0.275,0.325,0.4,0.3,0.325,0.45,0.4,0.45
"Gagnon
(R = 23)",0.043478260869565216,0.30434782608695654,0.2608695652173913,0.43478260869565216,0.2608695652173913,0.21739130434782608,0.43478260869565216,0.391304347826087,0.4782608695652174
"Varshney
(R = 22)",0.3181818181818182,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.3181818181818182,0.4090909090909091,0.45454545454545453,0.36363636363636365
"Teboul
(R = 7)",0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.42857142857142855
